Day,Day of Year, Mean Wind SpeedMPH, Max Gust SpeedMPH, WindDirDegrees
1,1-Jan,8,20,252
2,2-Jan,2,9,331
3,3-Jan,7,38,98
4,4-Jan,6,20,150
5,5-Jan,7,32,127
6,6-Jan,7,31,154
7,7-Jan,5,19,143
8,8-Jan,5,19,149
9,9-Jan,10,33,189
10,10-Jan,6,15,267
11,11-Jan,7,21,285
12,12-Jan,6,13,145
13,13-Jan,7,29,157
14,14-Jan,9,33,187
15,15-Jan,10,27,268
16,16-Jan,10,30,201
17,17-Jan,12,31,292
18,18-Jan,6,29,248
19,19-Jan,8,28,177
20,20-Jan,15,46,294
21,21-Jan,5,23,323
22,22-Jan,4,17,323
23,23-Jan,6,27,318
24,24-Jan,5,14,253
25,25-Jan,5,20,164
26,26-Jan,7,31,282
27,27-Jan,5,29,139
28,28-Jan,8,32,173
29,29-Jan,8,33,167
30,30-Jan,5,24,327
31,31-Jan,5,18,204
32,1-Feb,5,21,162
33,2-Feb,4,20,156
34,3-Feb,6,19,163
35,4-Feb,11,33,186
36,5-Feb,8,31,289
37,6-Feb,13,40,289
38,7-Feb,8,30,216
39,8-Feb,7,33,205
40,9-Feb,12,46,317
41,10-Feb,7,25,237
42,11-Feb,9,34,279
43,12-Feb,10,33,275
44,13-Feb,9,28,249
45,14-Feb,6,22,206
46,15-Feb,7,37,12
47,16-Feb,6,24,88
48,17-Feb,8,28,161
49,18-Feb,13,58,250
50,19-Feb,7,24,158
51,20-Feb,11,32,295
52,21-Feb,7,19,136
53,22-Feb,13,54,183
54,23-Feb,14,40,267
55,24-Feb,11,35,203
56,25-Feb,8,31,129
57,26-Feb,7,29,100
58,27-Feb,9,35,100
59,28-Feb,8,38,291
60,1-Mar,6,22,265
61,2-Mar,5,15,152
62,3-Mar,5,14,129
63,4-Mar,10,31,221
64,5-Mar,8,33,172
65,6-Mar,7,22,309
66,7-Mar,7,29,279
67,8-Mar,6,20,269
68,9-Mar,7,21,256
69,10-Mar,6,14,156
70,11-Mar,7,27,155
71,12-Mar,4,20,168
72,13-Mar,8,20,338
73,14-Mar,6,12,270
74,15-Mar,5,16,134
75,16-Mar,5,14,129
76,17-Mar,7,25,169
77,18-Mar,7,30,232
78,19-Mar,5,37,91
79,20-Mar,6,39,4
80,21-Mar,7,20,254
81,22-Mar,5,17,149
82,23-Mar,4,22,257
83,24-Mar,5,15,131
84,25-Mar,6,22,142
85,26-Mar,5,45,188
86,27-Mar,4,15,107
87,28-Mar,8,38,207
88,29-Mar,6,25,300
89,30-Mar,7,43,245
90,31-Mar,7,21,310
91,1-Apr,5,15,213
92,2-Apr,7,48,14
93,3-Apr,4,24,330
94,4-Apr,6,26,127
95,5-Apr,7,27,128
96,6-Apr,5,31,117
97,7-Apr,7,32,137
98,8-Apr,6,27,331
99,9-Apr,5,28,342
100,10-Apr,5,24,136
101,11-Apr,9,25,317
102,12-Apr,7,35,320
103,13-Apr,5,22,117
104,14-Apr,4,31,16
105,15-Apr,8,29,340
106,16-Apr,7,33,267
107,17-Apr,6,34,65
108,18-Apr,6,20,296
109,19-Apr,7,27,283
110,20-Apr,8,32,293
111,21-Apr,9,30,218
112,22-Apr,6,49,224
113,23-Apr,6,26,118
114,24-Apr,5,18,57
115,25-Apr,4,13,125
116,26-Apr,6,39,173
117,27-Apr,4,28,222
118,28-Apr,5,47,290
119,29-Apr,4,24,63
120,30-Apr,8,38,255
121,1-May,9,28,277
122,2-May,6,19,252
123,3-May,4,15,140
124,4-May,5,17,77
125,5-May,5,29,168
126,6-May,7,42,278
127,7-May,6,22,357
128,8-May,6,17,70
129,9-May,5,16,123
130,10-May,3,11,347
131,11-May,4,36,297
132,12-May,4,14,98
133,13-May,7,27,150
134,14-May,6,27,187
135,15-May,4,15,214
136,16-May,7,24,24
137,17-May,6,30,329
138,18-May,4,13,210
139,19-May,5,19,90
140,20-May,6,22,297
141,21-May,7,24,188
142,22-May,8,30,212
143,23-May,6,24,224
144,24-May,6,28,205
145,25-May,5,21,125
146,26-May,8,32,301
147,27-May,8,26,309
148,28-May,5,17,125
149,29-May,4,14,305
150,30-May,5,15,181
151,31-May,6,29,152
152,1-Jun,5,18,174
153,2-Jun,7,20,171
154,3-Jun,6,24,150
155,4-Jun,5,26,199
156,5-Jun,5,19,131
157,6-Jun,5,24,136
158,7-Jun,5,15,150
159,8-Jun,4,23,124
160,9-Jun,6,27,113
161,10-Jun,8,42,137
162,11-Jun,4,18,146
163,12-Jun,4,17,334
164,13-Jun,4,12,224
165,14-Jun,7,33,173
166,15-Jun,6,22,293
167,16-Jun,5,21,224
168,17-Jun,6,42,318
169,18-Jun,6,24,334
170,19-Jun,7,25,250
171,20-Jun,5,16,154
172,21-Jun,6,34,101
